http://www.isri.cmu.edu/people/other-faculty.html,http://isri.cmu.edu,,,,,,
,,,,,,,
,NAME,EMAIL,TITLE,DEPARTMENT,PHOTO,HOMEPAGE,Bio
,,,,,,,
QUERY,//div/h1,,//div[@class='content']/h2,,//div/div/img/@src,//div/p/a/@href,//div/div/div/p
,,,,,,,
RESPONSE,Sudershan Boovaraghavan,,Research Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Darko Bozhinoski,,Visiting Research Scholar,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Saksham Chitkara,,Research Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Anupam Das,,Doctoral Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/das-anupam-75.jpg,,
,Jean Carlos De Carvalho Melo,,Visiting Research Scholar,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Martin Degeling,,Post-Doctoral Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/degeling-martin-75.jpg,,
,Anna Filippova,,Post-Doctoral Research Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/filippova-ana-75.jpg,,
,Edward Fredkin,,Distinguished Career Professor of Robotics,Institute for Software Research,http://isri.cmu.edu/images/people/75px/fredkin-edward-75.jpg,,
,Praveen Garimella,,Visiting Research Scholar,Institute for Software Research,http://isri.cmu.edu/images/people/75px/garimella-praveen-75.jpg,http://www.andrew.cmu.edu/user/praveeng,
,Pooyan Jamshidi,,Post-Doctoral Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Dun Liu,,Visiting Researcher,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Jens Meinicke,,Visiting Researcher,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Johann Mogensen,,Visiting Researcher,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Swarup Kumar Sahoo,,Post-Doctoral Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Stefan Stanciulescu,,Visiting Research Scholar,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Christopher Timperley,,Post-Doctoral Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Erik Trainer,,Post-Doctoral Research Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/trainer-erik-75.jpg,,
,Vamsavardan (Vamsi) Sai Kuma Vemuru,,Research Associate,Institute for Software Research,http://isri.cmu.edu/images/people/75px/_blank-75.jpg,,
,Sebastian Zimmeck,,Post-Doctoral Associate,Institute for Software Research,,,